School,Mens Soccer Roster URL,Mens Soccer Statistics URL
Louisville,https://gocards.com/sports/mens-soccer/roster/2025,https://gocards.com/sports/mens-soccer/stats
George Mason,https://gomason.com/sports/mens-soccer/roster/2025,https://gomason.com/sports/mens-soccer/stats
UC Santa Barbara,https://ucsbgauchos.com/sports/mens-soccer/roster/2025,https://ucsbgauchos.com/sports/mens-soccer/stats
Massachusetts,https://umassathletics.com/sports/mens-soccer/roster/2025,https://umassathletics.com/sports/mens-soccer/stats
Fairfield,https://fairfieldstags.com/sports/mens-soccer/roster/2025,https://fairfieldstags.com/sports/mens-soccer/stats
Dayton,https://daytonflyers.com/sports/mens-soccer/roster/2025,https://daytonflyers.com/sports/mens-soccer/stats
Missouri State,https://missouristatebears.com/sports/mens-soccer/roster/2025,https://missouristatebears.com/sports/mens-soccer/stats
Utah Valley,https://gouvu.com/sports/mens-soccer/roster/2025,https://gouvu.com/sports/mens-soccer/stats
NIU,https://niuhuskies.com/sports/mens-soccer/roster/2025,https://niuhuskies.com/sports/mens-soccer/stats
Boston College,https://bceagles.com/sports/mens-soccer/roster/2025,https://bceagles.com/sports/mens-soccer/stats
Fordham,https://fordhamsports.com/sports/mens-soccer/roster/2025,https://fordhamsports.com/sports/mens-soccer/stats
UIC,https://uicflames.com/sports/mens-soccer/roster/2025,https://uicflames.com/sports/mens-soccer/stats
Villanova,https://villanova.com/sports/mens-soccer/roster/2025,https://villanova.com/sports/mens-soccer/stats
Evansville,https://gopurpleaces.com/sports/mens-soccer/roster/2025,https://gopurpleaces.com/sports/mens-soccer/stats
Lindenwood,https://lindenwoodlions.com/sports/mens-soccer/roster/2025,https://lindenwoodlions.com/sports/mens-soccer/stats
Michigan State,https://msuspartans.com/sports/mens-soccer/roster/2025,https://msuspartans.com/sports/mens-soccer/stats
Belmont,https://belmontbruins.com/sports/mens-soccer/roster/2025,https://belmontbruins.com/sports/mens-soccer/stats
Santa Clara,https://santaclarabroncos.com/sports/mens-soccer/roster/2025,https://santaclarabroncos.com/sports/mens-soccer/stats
FGCU,https://fgcuathletics.com/sports/mens-soccer/roster/2025,https://fgcuathletics.com/sports/mens-soccer/stats
Cleveland State,https://csuvikings.com/sports/mens-soccer/roster/2025,https://csuvikings.com/sports/mens-soccer/stats
Old Dominion,https://odusports.com/sports/mens-soccer/roster/season/2025,https://odusports.com/sports/mens-soccer/stats
Ohio State,https://ohiostatebuckeyes.com/sports/mens-soccer/roster/2025,https://ohiostatebuckeyes.com/sports/mens-soccer/stats
San Diego State,https://goaztecs.com/sports/mens-soccer/roster/season/2025,https://goaztecs.com/sports/mens-soccer/stats
UAlbany,https://ualbanysports.com/sports/mens-soccer/roster/2025,https://ualbanysports.com/sports/mens-soccer/stats
Cal Poly,https://gopoly.com/sports/mens-soccer/roster/2025,https://gopoly.com/sports/mens-soccer/stats
Seattle U,https://goseattleu.com/sports/mens-soccer/roster/2025,https://goseattleu.com/sports/mens-soccer/stats
Penn State,https://gopsusports.com/sports/mens-soccer/roster,https://gopsusports.com/sports/mens-soccer/stats
South Carolina,https://gamecocksonline.com/sports/msoc/roster/season/2025/,https://gamecocksonline.com/sports/mens-soccer/stats
LMU (CA),https://lmulions.com/sports/mens-soccer/roster/2025,https://lmulions.com/sports/mens-soccer/stats
College of Charleston,https://cofcsports.com/sports/mens-soccer/roster/2025,https://cofcsports.com/sports/mens-soccer/stats
Lafayette,https://goleopards.com/sports/mens-soccer/roster/2025,https://goleopards.com/sports/mens-soccer/stats
UMass Lowell,https://goriverhawks.com/sports/mens-soccer/roster/2025,https://goriverhawks.com/sports/mens-soccer/stats
Houston Christian,https://hcuhuskies.com/sports/mens-soccer/roster/2025,https://hcuhuskies.com/sports/mens-soccer/stats
Army West Point,https://goarmywestpoint.com/sports/mens-soccer/roster/2025,https://goarmywestpoint.com/sports/mens-soccer/stats
Tulsa,https://tulsahurricane.com/sports/mens-soccer/roster/2025,https://tulsahurricane.com/sports/mens-soccer/stats
New Hampshire,https://unhwildcats.com/sports/mens-soccer/roster/2025,https://unhwildcats.com/sports/mens-soccer/stats
Campbell,https://gocamels.com/sports/mens-soccer/roster/2025,https://gocamels.com/sports/mens-soccer/stats
Bellarmine,https://athletics.bellarmine.edu/sports/mens-soccer/roster/2025,https://athletics.bellarmine.edu/sports/mens-soccer/stats
UAB,https://uabsports.com/sports/mens-soccer/roster/2025,https://uabsports.com/sports/mens-soccer/stats
Xavier,https://goxavier.com/sports/mens-soccer/roster/2025,https://goxavier.com/sports/mens-soccer/stats
Iona,https://ionagaels.com/sports/mens-soccer/roster/2025,https://ionagaels.com/sports/mens-soccer/stats
Cal State Fullerton,https://fullertontitans.com/sports/mens-soccer/roster/2025,https://fullertontitans.com/sports/mens-soccer/stats
Drexel,https://drexeldragons.com/sports/mens-soccer/roster/2025,https://drexeldragons.com/sports/mens-soccer/stats
Columbia,https://gocolumbialions.com/sports/mens-soccer/roster/2025,https://gocolumbialions.com/sports/mens-soccer/stats
St. Thomas (MN),https://tommiesports.com/sports/msoc/roster,https://tommiesports.com/sports/mens-soccer/stats
Duquesne,https://goduquesne.com/sports/mens-soccer/roster/2025,https://goduquesne.com/sports/mens-soccer/stats
Stetson,https://gohatters.com/sports/mens-soccer/roster/2025,https://gohatters.com/sports/mens-soccer/stats
James Madison,https://jmusports.com/sports/mens-soccer/roster/2025,https://jmusports.com/sports/mens-soccer/stats
Monmouth,https://monmouthhawks.com/sports/mens-soccer/roster/2025,https://monmouthhawks.com/sports/mens-soccer/stats
Gonzaga,https://gozags.com/sports/mens-soccer/roster/2025,https://gozags.com/sports/mens-soccer/stats
Jacksonville,https://judolphins.com/sports/mens-soccer/roster/2025,https://judolphins.com/sports/mens-soccer/stats
